,Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
266,222800,KR7222800005,심텍,KOSDAQ,우량기업부,30600,2,-1400,-4.38,31550,31800,30450,673881,20873739050,974736775800,31854143,KSQ
267,399720,KR7399720002,가온칩스,KOSDAQ,벤처기업부,84500,2,-500,-0.59,85400,87200,84000,389290,33231112100,970763040000,11488320,KSQ
268,000670,KR7000670000,영풍,KOSPI,,524000,2,-6000,-1.13,532000,532000,520000,731,384075000,965228960000,1842040,STK
269,056190,KR7056190002,에스에프에이,KOSDAQ GLOBAL,우량기업부,26700,2,-250,-0.93,27200,27200,26500,87748,2348284450,958763892000,35908760,KSQ
270,003240,KR7003240009,태광산업,KOSPI,,856000,2,-24000,-2.73,889000,889000,852000,1622,1400267000,953070400000,1113400,STK
271,003530,KR7003530003,한화투자증권,KOSPI,,4440,2,-115,-2.52,4690,4700,4410,5159402,23396802975,952592121000,214547775,STK
272,166090,KR7166090001,하나머티리얼즈,KOSDAQ GLOBAL,우량기업부,48050,1,650,1.37,47450,48550,47250,58041,2781241600,949115985700,19752674,KSQ
273,214450,KR7214450009,파마리서치,KOSDAQ GLOBAL,우량기업부,91800,2,-200,-0.22,92000,93100,91500,54787,5051635600,947414831400,10320423,KSQ
274,001800,KR7001800002,오리온홀딩스,KOSPI,,15100,2,-180,-1.18,15250,15340,14990,19961,302334970,945945872200,62645422,STK
275,020560,KR7020560009,아시아나항공,KOSPI,,12590,2,-180,-1.41,12660,12760,12550,209190,2642331650,936844108760,74411764,STK
276,089590,KR7089590004,제주항공,KOSPI,,11560,1,20,0.17,11540,11630,11480,70884,819494310,932209786600,80640985,STK
